count,start_station_id,start_station_name,start_station_longitude,start_station_latitude
8789,3574,Prospect Pl & Underhill Ave,-73.96579,40.6769694
8846,3094,Graham Ave & Withers St,-73.94485918,40.7169811
8859,3157,East End Ave & E 86 St,-73.94446054,40.77518615
8927,3666,32 St & 30 Ave,-73.92062902450562,40.766425527028794
8943,3623,W 120 St & Claremont Ave,-73.9634,40.8109494
8978,3628,Lenox Ave & W 117 St,-73.9490782,40.8025566
9019,396,Lefferts Pl & Franklin Ave,-73.9557689392,40.680342423
9064,3199,Newport Pkwy,-74.0321082,40.7287448
9074,3583,Eastern Pkwy & Washington Ave,-73.9631145,40.6716493
9182,3290,E 89 St & York Ave,-73.946041,40.7779453
9192,343,Clinton Ave & Flushing Ave,-73.96986848,40.69794
9200,3454,Leonard St & Maujer St,-73.94705951213837,40.7103685423523
9207,144,Nassau St & Navy St,-73.98068914,40.69839895
9249,3544,Underhill Ave & Pacific St,-73.9646795,40.6804836
9350,3695,E 5 St & 2 Ave,-73.98919031023979,40.72686951528207
9354,3571,Bedford Ave & Bergen St,-73.952918,40.676368
9446,3105,N 15 St & Wythe Ave,-73.955736,40.724055
9495,3452,Bayard St & Leonard St,-73.94885390996933,40.71915571696044
9548,3074,Montrose Ave & Bushwick Ave,-73.94016171,40.70767788
9580,3386,1 Pl & Clinton St,-73.99905709,40.6809591
9624,400,Pitt St & Stanton St,-73.98178024,40.71926081
9630,3438,E 76 St & 3 Ave,-73.95842134952545,40.772248537721744
9643,289,Monroe St & Classon Ave,-73.95881081,40.6845683
9719,3303,Butler St & Court St,-73.99440329,40.6849894
9742,3085,Roebling St & N 4 St,-73.95739,40.71469
9772,3403,4 Ave & 9 St,-73.98876585,40.6705135
9791,3231,E 67 St & Park Ave,-73.96592080593109,40.76780080148132
9794,3580,St Johns Pl & Washington Ave,-73.9631611,40.6737236
9822,3533,St. Nicholas Ave & W 126 St,-73.9518776,40.8114323
9839,409,DeKalb Ave & Skillman St,-73.95643107,40.6906495
9843,3339,Berkeley Pl & 6 Ave,-73.97846879,40.6765304
9881,3379,E 103 St & Lexington Ave,-73.94755757,40.7903051
9889,385,E 55 St & 2 Ave,-73.96603308,40.75797322
9904,3555,28 St & 41 Ave,-73.93797,40.751047
9904,3699,W 50 St & 9 Ave,-73.98917958140373,40.763604677958625
10066,3709,W 15 St & 6 Ave,-73.99642959237099,40.738046142482766
10110,3537,Carlton Ave & Dean St,-73.9710097,40.6809741
10127,3615,44 Dr & 21 St,-73.9460927,40.748
10146,3343,W 107 St & Columbus Ave,-73.9621128676,40.7997568
10216,3516,31 St & Astoria Blvd,-73.9184057,40.7699176
10291,3549,Grand Ave & Bergen St,-73.962408,40.678045
10351,3311,Columbia St & Kane St,-74.0016256,40.68763155
10353,3690,Park Pl & Church St,-74.00935515761375,40.71334184275907
10395,3410,Dean St & Hoyt St,-73.98759104,40.6864442
10409,3542,Amsterdam Ave & W 119 St,-73.9596214,40.8086249
10440,3388,President St & Henry St,-73.99990419,40.6828003
10454,3152,3 Ave & E 71 St,-73.96119945,40.76873687
10502,3413,Wyckoff St & 3 Ave,-73.98258555,40.6827549
10523,3306,10 St & 7 Ave,-73.98199886,40.6662078
10640,3180,Brooklyn Bridge Park - Pier 2,-73.99712,40.69878
10643,3572,34 Ave & 38 St,-73.921631,40.756913
10816,3310,14 St & 7 Ave,-73.98396846,40.663779
10833,3389,Carroll St & Columbia St,-74.00348559,40.6830456
10849,3286,E 89 St & 3 Ave,-73.9521667,40.7806284
10884,298,3 Ave & Schermerhorn St,-73.9796772,40.68683208
10938,82,St James Pl & Pearl St,-74.00016545,40.71117416
